Geneid	SRR222175	SRR222176	SRR222177	SRR222178
ENSG00000241505	0	0	0	0
ENSG00000261453	1	0	1	0
ENSG00000231020	0	0	0	0
ENSG00000270818	0	0	0	0
ENSG00000225561	0	0	0	0
ENSG00000223847	0	0	0	0
ENSG00000277704	0	0	0	0
ENSG00000240963	0	0	0	0
ENSG00000226570	0	0	0	0
ENSG00000236905	0	0	1	0
ENSG00000227887	0	1	0	3
ENSG00000116903	41	14	67	72
ENSG00000226196	0	0	0	0
ENSG00000287354	1	0	0	0
ENSG00000233827	1	1	1	1
ENSG00000235182	0	0	0	0
ENSG00000287157	1	0	0	0
ENSG00000225755	0	0	0	0
ENSG00000197472	0	1	0	7
ENSG00000230184	0	0	0	1
ENSG00000232436	0	0	0	0
ENSG00000236317	0	0	0	0
ENSG00000176855	23	75	84	103
ENSG00000225401	0	0	0	0
ENSG00000228190	0	0	0	0
ENSG00000135747	0	0	0	1
ENSG00000253148	0	0	0	0
ENSG00000227751	0	0	0	0
ENSG00000236468	1	0	2	4
ENSG00000236101	0	0	0	0
ENSG00000278684	0	0	0	0
ENSG00000236775	0	0	0	0
ENSG00000042781	0	3	1	1
ENSG00000228646	0	0	0	0
ENSG00000233332	0	0	0	0
ENSG00000231984	0	0	0	0
ENSG00000035687	88	133	222	396
ENSG00000180287	0	0	5	0
ENSG00000226693	0	0	0	0
ENSG00000231272	0	0	0	0
ENSG00000223828	0	0	0	1
ENSG00000226723	0	0	1	0
ENSG00000272672	0	1	1	0
ENSG00000235096	0	0	0	1
ENSG00000225222	0	0	0	1
ENSG00000198842	3	22	0	2
ENSG00000286619	1	0	0	1
ENSG00000198756	15	1	10	3
ENSG00000227554	0	0	0	0
ENSG00000178596	0	0	0	0
ENSG00000183780	0	0	1	1
ENSG00000229663	0	0	0	0
ENSG00000228530	0	0	0	0
ENSG00000143194	4	0	1	0
ENSG00000287921	0	0	0	0
ENSG00000232166	0	0	0	0
ENSG00000231378	0	0	0	0
ENSG00000235605	3	1	12	7
ENSG00000224857	0	0	0	0
ENSG00000273367	0	0	0	2
ENSG00000231605	2	1	0	0
ENSG00000236358	0	0	0	0
ENSG00000203737	0	0	0	0
ENSG00000215873	0	0	0	1
ENSG00000185420	20	29	58	162
ENSG00000272175	0	0	0	0
ENSG00000213070	0	0	1	0
ENSG00000229747	0	0	0	0
ENSG00000225486	0	2	1	2
ENSG00000213068	0	0	0	0
ENSG00000273198	0	0	0	0
ENSG00000225719	0	0	0	0
ENSG00000273483	1	0	2	2
ENSG00000232809	0	0	0	0
ENSG00000285981	0	0	0	0
ENSG00000215796	2	0	2	1
ENSG00000233047	0	0	0	0
ENSG00000143341	7	10	30	61
ENSG00000116703	0	0	0	0
ENSG00000264341	0	0	0	0
ENSG00000264101	0	0	0	1
ENSG00000252404	0	0	0	0
ENSG00000243267	0	0	0	0
ENSG00000252151	0	0	0	0
ENSG00000252969	0	0	0	0
ENSG00000252956	0	0	0	0
ENSG00000284357	0	0	0	0
ENSG00000207941	0	0	0	0
ENSG00000199963	0	0	0	0
ENSG00000264698	0	0	0	0
ENSG00000207328	0	0	0	0
ENSG00000207466	0	0	0	0
ENSG00000252368	0	0	0	0
ENSG00000206779	0	0	0	0
ENSG00000200796	0	0	0	0
ENSG00000283724	0	0	0	0
ENSG00000284410	0	0	0	0
ENSG00000252018	0	0	0	0
ENSG00000206627	0	0	0	0
ENSG00000207508	0	0	0	0
ENSG00000200171	0	0	0	0
ENSG00000207194	0	0	0	0
ENSG00000283477	0	0	0	0
ENSG00000263675	0	0	0	0
ENSG00000238653	0	0	0	0
ENSG00000212624	0	0	0	0
ENSG00000200575	0	0	0	0
ENSG00000212360	0	0	0	0
ENSG00000251825	0	0	0	0
ENSG00000222624	0	0	0	0
ENSG00000223152	0	0	0	0
ENSG00000212308	0	0	0	0
ENSG00000276081	0	0	0	0
ENSG00000239640	0	0	0	0
ENSG00000252338	0	0	0	0
ENSG00000239319	0	0	0	0
ENSG00000251767	0	0	0	0
ENSG00000202263	0	0	0	0
ENSG00000199318	0	0	1	0
ENSG00000199666	0	0	0	0
ENSG00000200601	0	0	0	0
ENSG00000242482	0	0	0	0
ENSG00000201620	0	0	0	0
ENSG00000206817	0	0	0	0
ENSG00000264963	0	0	0	0
ENSG00000198974	0	0	0	0
ENSG00000212248	0	0	0	0
ENSG00000207962	0	0	0	0
ENSG00000207234	0	0	0	0
ENSG00000202259	0	0	0	0
ENSG00000212459	0	1	0	0
ENSG00000263526	0	0	0	0
ENSG00000211575	0	0	0	0
ENSG00000202254	0	0	0	0
ENSG00000201491	0	0	0	0
ENSG00000275455	0	0	0	0
ENSG00000200800	0	0	0	0
ENSG00000252530	0	0	0	0
ENSG00000200536	0	0	0	0
ENSG00000211543	0	0	0	0
ENSG00000252797	0	0	0	0
ENSG00000212266	0	0	0	0
ENSG00000222209	0	0	0	0
ENSG00000277141	0	0	0	0
ENSG00000215930	0	0	0	0
ENSG00000238761	0	0	0	0
ENSG00000222069	0	0	0	0
ENSG00000252005	0	0	0	0
ENSG00000252510	0	0	0	0
ENSG00000252830	0	0	0	0
ENSG00000283296	0	0	0	0
ENSG00000252717	0	0	0	0
ENSG00000277313	0	0	0	0
ENSG00000207472	0	0	0	0
ENSG00000199849	0	0	0	0
ENSG00000212538	0	0	0	0
ENSG00000251813	0	0	0	0
ENSG00000207108	0	0	0	0
ENSG00000202491	0	0	0	0
ENSG00000201596	0	0	0	0
ENSG00000273629	0	0	0	0
ENSG00000201493	0	0	0	0
ENSG00000200139	0	0	0	0
ENSG00000253025	0	0	0	0
ENSG00000201544	0	0	1	1
ENSG00000202498	0	0	0	0
ENSG00000221545	0	0	0	0
ENSG00000252906	0	0	0	0
ENSG00000202329	0	0	0	0
ENSG00000242794	0	0	0	0
ENSG00000283340	0	0	0	0
ENSG00000252860	0	0	1	1
ENSG00000263390	0	0	0	0
ENSG00000207181	0	2	0	0
ENSG00000264377	0	0	0	0
ENSG00000207149	0	0	0	0
ENSG00000284485	0	0	0	0
ENSG00000239494	0	0	0	0
ENSG00000199442	0	0	0	0
ENSG00000239690	0	0	0	0
ENSG00000202184	0	0	0	0
ENSG00000241395	0	0	0	0
ENSG00000200982	0	0	0	0
ENSG00000222407	0	0	0	0
ENSG00000200495	0	0	0	0
ENSG00000252553	0	0	0	0
ENSG00000222240	0	0	0	0
ENSG00000212187	0	0	0	0
ENSG00000200036	0	0	0	0
ENSG00000212610	0	1	0	0
ENSG00000200327	0	0	0	0
ENSG00000200972	0	0	0	0
ENSG00000212205	0	0	0	0
ENSG00000264358	0	0	0	0
ENSG00000212527	0	0	0	0
ENSG00000252879	0	0	0	0
ENSG00000202264	0	0	0	0
ENSG00000285609	0	0	0	0
ENSG00000252084	0	0	0	0
ENSG00000200085	0	0	0	0
ENSG00000264500	0	0	0	0
ENSG00000202025	0	0	0	0
ENSG00000225545	0	0	0	0
ENSG00000206990	0	0	0	0
ENSG00000230175	0	0	1	0
ENSG00000225272	0	0	0	0
ENSG00000273365	1	0	0	0
ENSG00000230659	0	0	1	0
ENSG00000215520	1	0	0	0
ENSG00000183114	9	1	2	0
ENSG00000284005	0	0	0	0
ENSG00000234473	0	0	0	0
ENSG00000238754	0	0	0	0
ENSG00000221680	0	0	0	0
ENSG00000276735	0	0	0	0
ENSG00000287453	0	0	0	0
ENSG00000270615	0	0	0	0
ENSG00000287283	1	0	0	0
ENSG00000240692	0	0	0	0
ENSG00000244389	0	0	0	0
ENSG00000278636	1	0	0	0
ENSG00000271992	2	0	3	2
ENSG00000237033	2	1	0	0
ENSG00000229239	0	0	0	0
ENSG00000273844	0	0	0	0
ENSG00000235748	0	0	0	0
ENSG00000221879	0	0	0	0
ENSG00000230260	0	0	0	0
ENSG00000199241	0	0	0	0
ENSG00000223963	0	0	0	0
ENSG00000215802	0	0	0	0
ENSG00000233615	0	0	1	0
ENSG00000238085	2	1	2	4
ENSG00000265831	0	0	0	0
ENSG00000224348	0	2	0	0
ENSG00000287738	0	0	0	0
ENSG00000132703	0	0	0	0
ENSG00000276632	0	0	0	0
ENSG00000223603	0	0	0	0
ENSG00000132693	0	0	0	0
ENSG00000235226	0	0	0	0
ENSG00000212161	0	0	0	0
ENSG00000243284	0	0	0	0
ENSG00000213085	5	5	0	7
ENSG00000266458	0	0	0	0
ENSG00000287040	0	0	0	0
ENSG00000279430	3	0	0	0
ENSG00000162723	0	1	0	1
ENSG00000273933	0	1	3	0
ENSG00000256029	0	0	0	0
ENSG00000188004	0	0	0	0
ENSG00000266580	0	0	0	0
ENSG00000269967	0	0	0	1
ENSG00000228634	0	2	0	1
ENSG00000284702	1	0	0	0
ENSG00000221040	1	0	0	0
ENSG00000212385	0	0	0	0
ENSG00000200547	0	0	0	0
ENSG00000224950	0	5	3	1
ENSG00000243364	78	140	103	133
ENSG00000251246	0	0	0	0
ENSG00000202027	0	0	0	0
ENSG00000223452	0	0	0	0
ENSG00000273088	0	0	0	0
ENSG00000284586	0	0	0	0
ENSG00000143627	6	13	2	13
ENSG00000253074	0	0	0	0
ENSG00000252116	0	0	0	0
ENSG00000228523	1	3	3	7
ENSG00000223263	0	0	0	0
ENSG00000207504	0	0	0	0
ENSG00000238139	0	0	0	0
ENSG00000197721	0	0	0	1
ENSG00000244703	0	0	0	0
ENSG00000226289	0	0	0	0
ENSG00000285239	0	0	0	0
ENSG00000234219	0	0	0	0
ENSG00000158731	0	0	0	0
ENSG00000201746	0	0	0	0
ENSG00000264881	0	0	0	0
ENSG00000199562	0	0	0	0
ENSG00000264501	0	0	0	0
ENSG00000284735	4	2	1	0
ENSG00000284642	2	1	9	0
ENSG00000271989	0	0	0	0
ENSG00000251503	0	0	0	0
ENSG00000175279	2	2	12	8
ENSG00000203469	0	0	0	0
ENSG00000236035	3	3	12	13
ENSG00000221643	0	2	0	0
ENSG00000227417	0	0	1	0
ENSG00000223505	0	0	0	0
ENSG00000236430	0	0	0	0
ENSG00000238231	0	0	0	0
ENSG00000240750	1	1	0	0
ENSG00000158156	38	71	79	72
ENSG00000283799	0	0	0	0
ENSG00000227934	3	4	2	8
ENSG00000229595	0	0	0	0
ENSG00000281912	2	2	20	10
ENSG00000288208	0	0	0	0
ENSG00000236872	0	1	1	2
ENSG00000226164	0	0	0	0
ENSG00000224014	0	0	0	0
ENSG00000215795	1	0	0	0
ENSG00000259865	3	1	11	9
ENSG00000283881	0	0	0	0
ENSG00000252516	0	0	0	1
ENSG00000214144	0	0	1	1
ENSG00000235818	0	0	0	0
ENSG00000202079	0	0	0	0
ENSG00000169224	2	1	4	2
ENSG00000177489	1	0	0	0
ENSG00000177476	0	0	0	0
ENSG00000283369	0	0	0	0
ENSG00000230411	0	0	0	0
ENSG00000251977	0	0	0	0
ENSG00000252254	0	0	0	0
ENSG00000227854	0	0	0	0
ENSG00000215805	0	0	0	0
ENSG00000228818	1	1	7	12
ENSG00000202041	0	0	0	0
ENSG00000223694	0	0	0	0
ENSG00000233735	0	0	0	0
ENSG00000228076	0	1	0	0
ENSG00000237349	0	0	0	0
ENSG00000244716	4	0	1	9
ENSG00000228665	2	0	5	5
ENSG00000228054	0	0	0	0
ENSG00000278249	0	0	0	0
ENSG00000251484	1	0	1	0
ENSG00000234937	1	0	0	0
ENSG00000283442	0	0	0	0
ENSG00000207475	0	0	0	0
ENSG00000280466	0	0	0	0
ENSG00000281394	0	0	0	0
ENSG00000277817	0	0	0	0
ENSG00000224276	0	0	0	0
ENSG00000252236	0	0	0	0
ENSG00000260238	0	0	0	0
ENSG00000242252	9	0	1	0
ENSG00000207933	0	0	0	0
ENSG00000254726	5	86	12	87
ENSG00000186160	0	0	0	0
ENSG00000225154	0	0	0	0
ENSG00000225514	0	0	0	0
ENSG00000226252	0	0	0	0
ENSG00000186790	1	3	1	1
ENSG00000237424	28	32	51	48
ENSG00000189030	0	0	0	0
ENSG00000162763	0	0	1	0
ENSG00000168275	28	38	83	58
ENSG00000241563	0	3	2	1
ENSG00000116678	3	8	46	32
ENSG00000186564	41	97	154	119
ENSG00000244038	330	1955	1898	2408
ENSG00000158786	9	3	2	0
ENSG00000173080	11	11	43	18
ENSG00000276470	0	0	0	0
ENSG00000278852	0	0	0	0
ENSG00000275915	0	0	0	0
ENSG00000224904	0	1	0	0
ENSG00000201801	0	0	0	0
ENSG00000287384	0	0	0	0
ENSG00000270914	0	0	0	0
ENSG00000202461	0	0	0	1
ENSG00000276869	0	0	0	0
ENSG00000243539	0	0	0	0
ENSG00000120949	2	20	2	6
ENSG00000201135	0	0	0	0
ENSG00000227875	0	0	0	0
ENSG00000285604	0	0	0	0
ENSG00000283789	0	0	0	0
ENSG00000263676	0	0	0	0
ENSG00000200591	0	0	0	0
ENSG00000162521	78	127	392	734
ENSG00000278966	0	3	0	0
ENSG00000284035	0	0	0	0
ENSG00000236484	1	2	0	2
ENSG00000288093	2	0	0	2
ENSG00000206921	0	0	0	0
ENSG00000215840	1	5	4	9
ENSG00000277882	0	0	0	0
ENSG00000283317	2	0	1	3
ENSG00000277762	0	0	0	0
ENSG00000227139	0	0	0	0
ENSG00000234190	0	0	0	0
ENSG00000223728	0	0	0	0
ENSG00000121634	0	0	0	0
ENSG00000273059	0	1	0	0
ENSG00000206791	0	0	0	0
ENSG00000206585	0	0	0	0
ENSG00000198658	2	9	4	12
ENSG00000238382	0	0	0	0
ENSG00000207190	0	0	0	0
ENSG00000200508	0	0	0	0
ENSG00000188800	0	0	1	1
ENSG00000231296	0	0	0	0
ENSG00000227311	0	0	3	1
ENSG00000213172	0	0	0	0
ENSG00000284677	0	0	0	0
ENSG00000260920	2	3	9	18
ENSG00000255054	0	0	0	0
ENSG00000127423	2	10	4	29
ENSG00000207302	0	0	0	0
ENSG00000229786	0	0	0	0
ENSG00000223624	0	0	0	0
ENSG00000283938	0	0	0	0
ENSG00000199385	0	0	0	0
ENSG00000263381	0	0	0	0
ENSG00000126106	141	176	167	173
ENSG00000264294	0	0	0	0
ENSG00000200913	0	0	0	0
ENSG00000202031	0	0	2	0
ENSG00000207421	0	0	0	0
ENSG00000281859	0	0	0	0
